iter	Passed	Remaining
0	214	213808
1	216	108106
2	218	72767
3	221	55039
4	225	44849
5	227	37700
6	229	32596
7	231	28760
8	234	25811
9	239	23720
10	241	21757
11	244	20109
12	246	18720
13	248	17528
14	252	16552
15	254	15664
16	256	14858
17	258	14126
18	260	13471
19	262	12877
20	266	12402
21	267	11894
22	269	11433
23	270	11011
24	272	10612
25	273	10243
26	275	9916
27	276	9602
28	278	9335
29	280	9081
30	282	8832
31	283	8587
32	285	8358
33	286	8146
34	289	7977
35	290	7779
36	293	7649
37	295	7479
38	296	7312
39	298	7159
40	299	7004
41	300	6857
42	301	6718
43	302	6582
44	304	6451
45	305	6326
46	307	6231
47	308	6127
48	310	6022
49	311	5919
50	312	5817
51	313	5720
52	314	5628
53	316	5537
54	317	5450
55	318	5366
56	320	5295
57	322	5238
58	323	5163
59	324	5089
60	326	5018
61	327	4951
62	328	4886
63	329	4821
64	330	4759
65	332	4699
66	333	4640
67	336	4612
68	337	4558
69	339	4507
70	340	4457
71	341	4407
72	343	4358
73	344	4310
74	345	4264
75	347	4221
76	349	4184
77	351	4150
78	352	4111
79	353	4069
80	355	4028
81	356	3988
82	356	3942
83	357	3903
84	359	3866
85	360	3830
86	361	3795
87	363	3770
88	366	3755
89	368	3722
90	369	3687
91	372	3680
92	374	3650
93	375	3622
94	382	3640
95	384	3624
96	386	3594
97	387	3563
98	389	3542
99	390	3516
100	392	3492
101	396	3487
102	399	3482
103	401	3457
104	402	3432
105	403	3407
106	405	3381
107	406	3356
108	409	3344
109	414	3351
110	415	3328
111	416	3304
112	418	3281
113	419	3259
114	420	3235
115	421	3213
116	426	3215
117	428	3204
118	430	3184
119	431	3165
120	432	3144
121	433	3122
122	435	3102
123	436	3082
124	441	3087
125	443	3075
126	445	3059
127	446	3043
128	448	3025
129	449	3008
130	450	2989
131	453	2980
132	456	2976
133	458	2962
134	459	2946
135	461	2929
136	465	2930
137	468	2928
138	472	2923
139	473	2909
140	474	2893
141	476	2876
142	477	2860
143	478	2844
144	479	2829
145	482	2823
146	484	2812
147	485	2797
148	488	2787
149	488	2770
150	489	2753
151	490	2738
152	491	2722
153	492	2707
154	493	2692
155	495	2678
156	496	2664
157	497	2650
158	498	2636
159	499	2622
160	500	2607
161	501	2594
162	502	2581
163	503	2567
